UserId, DisplayName, PostCount, CommentCount, TotalScore
71218, Juan Esteban de la Calle, 236, 67, 17
14578, David Dao, 2, 1, 17
18843, Robert de Graaf, 50, 23, 17
32440, Adrian Keister, 34, 61, 17
16220, Jon, 14, 41, 16
52089, pcko1, 186, 89, 16
23159, Skiddles, 86, 56, 16
33603, Dan Carter, 41, 34, 16
434, Steve Kallestad, 67, 23, 16
1330, Brian Spiering, 400, 73, 16
67412, georg-un, 78, 33, 15
47832, DuttaA, 82, 141, 15
15533, Monica Heddneck, 44, 25, 15
964, bogatron, 28, 32, 15
38083, louic, 13, 16, 15
2513, DSea, 2, 2, 15
173, Wojciech Walczak, 22, 20, 15
21608, Himanshu Rai, 64, 63, 15
68023, Shubham Panchal, 66, 98, 15
12384, Stereo, 75, 68, 14
609, MrMeritology, 47, 35, 14
41886, tom, 46, 35, 14
65131, Leevo, 149, 87, 14
8752, n1tk, 46, 35, 14
14913, TBSRounder, 25, 44, 14
227, Amir Ali Akbari, 15, 20, 13
21232, Mohammad Athar, 23, 22, 13
10814, Edmund, 62, 59, 13
37184, Nuclear Wang, 18, 21, 13
8041, j.a.gartner, 40, 23, 13
6478, Brandon Loudermilk, 99, 41, 13
847, Nitesh, 95, 53, 13
17696, Bashar Haddad, 83, 38, 13
32697, redhqs, 22, 28, 13
21825, Manu H, 12, 20, 13
42044, Andy M, 20, 23, 13
54395, BrunoGL, 89, 76, 13
41771, Shamit Verma, 118, 123, 13
14, Tim Goodman, 19, 21, 12
30212, CalZ, 91, 72, 12
50833, Mark.F, 99, 53, 12
41525, Louis T, 57, 65, 12
65776, ranit.b, 62, 37, 12
27983, yoav_aaa, 71, 46, 12
14588, knb, 78, 37, 12
13023, wacax, 156, 49, 12
7848, Vladislavs Dovgalecs, 24, 41, 11
36977, Michael M, 12, 35, 11
18703, Upper_Case, 12, 23, 11
52719, The Lyrist, 55, 47, 11
45166, TitoOrt, 49, 22, 11
69670, MachineLearner, 78, 35, 11
548, indico, 28, 17, 11
74421, Fatemeh Asgarinejad, 204, 77, 11
29217, El Burro, 56, 56, 11
24000, tuomastik, 140, 23, 11
24, buruzaemon, 11, 4, 10
57416, Jérémy Blain, 17, 29, 10
44039, Fadi Bakoura, 39, 44, 10
65767, Dan Scally, 57, 38, 10
13686, wabbit, 58, 26, 10
115, Johnny000, 13, 8, 10
9483, Jordan A, 10, 4, 10
23204, hssay, 61, 35, 10
53357, bkshi, 102, 40, 10
16024, yazhi, 66, 43, 9
33812, Pieter21, 37, 19, 9
34, Vass, 7, 1, 9
24412, Reii Nakano, 7, 2, 9
1077, Pete, 37, 18, 9
2968, tagoma, 7, 37, 9
8501, smci, 59, 56, 9
34028, i.n.n.m, 40, 26, 9
44114, mico, 35, 21, 9
38892, Siong Thye Goh, 254, 43, 9
53812, Antonio Jurić, 75, 55, 9
6391, TheGrimmScientist, 16, 11, 9
20492, MaxU, 52, 38, 9
2576, Pablo Suau, 48, 43, 9
12363, Adam Bittlingmayer, 42, 23, 9
7720, Mike Wise, 17, 13, 9
75, Shagun Sodhani, 53, 42, 9
64760, Alex L, 25, 24, 9
2511, Keith, 18, 21, 9
25104, Laurens Meeus, 16, 18, 9
14560, Philip C. , 26, 27, 8
289, Piotr Migdal, 15, 15, 8
73441, vipin bansal, 96, 48, 8
37822, Gegenwind, 36, 28, 8
403, gallamine, 10, 7, 8
29134, Vincenzo Lavorini, 45, 26, 8
2723, Hack-R, 98, 53, 8
28628, Icyblade, 104, 58, 8
15361, Diego, 36, 38, 8
61418, Matthieu Brucher, 48, 64, 8
15656, padura, 17, 7, 8
4621, Robert Smith, 21, 39, 8
1256, seanv507, 24, 29, 8
5177, eliasah, 44, 47, 8
31086, Carl Rynegardh, 35, 25, 8
29169, Ethan, 778, 54, 8
31434, StatsSorceress, 104, 82, 8
51209, pythinker, 74, 39, 8
21433, darXider, 13, 18, 8
3070, Akavall, 15, 6, 8
2932, Thomas Cleberg, 87, 34, 8
2853, Stephan Kolassa, 15, 12, 8
26243, feynman410, 79, 20, 8
61645, Dmytro Prylipko, 39, 23, 8
24895, R Hill, 33, 22, 8
816, Alexey Grigorev, 38, 17, 7
17538, E_net4, 20, 36, 7
8113, Omri374, 9, 15, 7
38887, Valentin Calomme, 96, 47, 7
5316, runDOSrun, 5, 7, 7
57731, Noran, 59, 17, 7
3044, pir, 29, 18, 7
2454, Blue482, 24, 8, 7
51, Ansari, 2, 4, 7
1155, adesantos, 12, 12, 7
14779, Armen Aghajanyan, 19, 32, 7
58685, bakka, 20, 21, 7
182, Ryan J. Smith, 29, 16, 7
60954, Ugur MULUK, 28, 38, 7
27526, DeltaIV, 20, 12, 7
18632, shinvu, 5, 1, 7
43294, Tophat, 69, 23, 7
24593, HEITZ, 37, 25, 7
25800, jkyh, 28, 9, 7
49143, gazza89, 7, 6, 7
3024, Michael Hooreman, 48, 18, 7
5268, cbeleites, 12, 9, 7
7982, Dimitris, 3, 7, 7
42498, Divyanshu Shekhar, 36, 7, 7
1193, bayer, 3, 9, 7
5041, Juan Leni, 49, 20, 7
3151, Hamideh, 96, 38, 7
74735, grochmal, 28, 35, 7
113, vefthym, 10, 4, 6
26257, AkiRoss, 6, 2, 6
554, Def_Os, 7, 4, 6
45069, dashnick, 3, 9, 6
16538, Ryan, 31, 26, 6
16284, Marcus D, 64, 23, 6
8370, Bogas, 23, 8, 6
12515, Ryan Zotti, 154, 50, 6
39007, Dave Kielpinski, 3, 10, 6
67483, Wes, 42, 29, 6
34153, anymous.asker, 46, 27, 6
68154, HFulcher, 28, 18, 6
587, LauriK, 16, 11, 6
47615, AlexR, 1, 3, 6
59171, Francesco Pegoraro, 60, 53, 6
32402, Gaius, 19, 15, 6
63906, Robin Nicole, 44, 45, 6
122, alvas, 69, 15, 6
33759, raghu, 26, 14, 6
1367, logc, 39, 26, 6
63652, gin, 63, 15, 6
1406, ximiki, 16, 9, 6
1426, Alex, 57, 69, 6
68230, Victor Oliveira, 32, 28, 6
1085, insys, 14, 11, 6
69822, Blenz, 176, 55, 6
41047, vega, 3, 5, 6
97, IharS, 186, 22, 6
50146, deepguy, 139, 50, 6
6672, fnl, 2, 1, 6
50534, qmeeus, 26, 19, 6
62114, gunes, 14, 13, 6
23492, Escachator, 37, 24, 6
53943, avejidah, 1, 5, 6
41728, Elliot, 43, 24, 6
8944, JHowIX, 3, 3, 6
53582, Kaustubh, 10, 19, 6
21024, Hima Varsha, 134, 73, 6
30107, Rahul Aedula, 42, 34, 5
30928, Thomas W, 19, 17, 5
11121, João Almeida, 7, 5, 5
40951, xiaodai, 8, 7, 5
13296, Philip Kendall, 5, 8, 5
1029, Nischal Hp, 45, 41, 5
12241, Alex R., 16, 12, 5
60105, user_6396, 53, 26, 5
5279, Anton Tarasenko, 8, 16, 5
10620, Marmite Bomber, 60, 28, 5
14360, Raghuram, 41, 36, 5
77162, Tasty213, 37, 34, 5
14519, KT., 32, 9, 5
1424, mjul, 10, 10, 5
46327, li x, 5, 5, 5
158, blunders, 37, 18, 5
51129, N.IT, 145, 38, 5
49590, Danny, 37, 23, 5
76530, Machupicchu, 16, 14, 5
941, sobach, 23, 10, 5
4710, Barry Carter, 1, 15, 5
8152, lennyklb, 18, 11, 5
8479, David Arenburg, 4, 6, 5
71675, Ismael EL ATIFI, 29, 8, 5
791, Christian Sauer, 10, 8, 5
35541, Andrey Lukyanenko, 14, 9, 5
989, marcodena, 32, 21, 5
58488, from keras import michael, 35, 21, 5
1131, Sidhha, 13, 10, 5
378, christopherlovell, 20, 9, 5
45610, Poete Maudit, 119, 86, 5
32280, aidan.plenert.macdonald, 21, 8, 5
37059, Taylrl, 51, 18, 5
723, Gerenuk, 16, 14, 5
3314, user62198, 107, 26, 5
1399, Ben Allison, 5, 9, 5
1241, JenSCDC, 22, 27, 5
8319, Matt, 1, 1, 4
46293, gurvinder372, 5, 5, 4
61936, paoloeusebi, 31, 5, 4
13518, SHASHANK GUPTA, 84, 23, 4
44299, Jay Speidell, 21, 6, 4
56760, Martin Brišiak, 4, 3, 4
61634, mahesh ghanta, 6, 13, 4
43605, Bobson Dugnutt, 4, 11, 4
26019, ebrahimi, 210, 74, 4
14925, dharm0us, 6, 2, 4
27607, Aamir , 6, 1, 4
17, Matias Valdenegro, 2, 1, 4
38339, Juan Antonio Gomez Moriano, 48, 21, 4
7977, Omid Ebrahimi, 16, 2, 4
375, nfmcclure, 11, 13, 4
51125, BigBadMe, 63, 22, 4
2661, pnp, 4, 3, 4
13232, Fred, 2, 1, 4
69169, Philip Raeisghasem, 8, 3, 4
17959, Darrin Thomas, 18, 8, 4
32884, Gal Avineri, 25, 13, 4
14372, Archie, 48, 23, 4
40029, mari, 14, 7, 4
43469, Eulenfuchswiesel, 12, 9, 4
70, Apollo, 1, 2, 4
47488, Pavel Savine, 35, 20, 4
50406, thanatoz, 150, 56, 4
27616, James Bond, 23, 4, 4
51659, Mankind_008, 48, 18, 4
2459, Paul, 42, 31, 4
8275, Will Stanton, 7, 7, 4
5246, Jo Douglass, 7, 11, 4
63932, oezguensi, 26, 11, 4
50211, Gino_JrDataScientist, 24, 9, 4
802, mike1886, 19, 10, 4
8491, shahensha, 1, 3, 4
51431, Kevin, 11, 3, 4
76546, 89f3a1c, 23, 9, 4
5211, Viktor, 35, 18, 4
12909, Jérémie Clos, 12, 18, 4
34033, chainD, 7, 5, 4
56177, Super_John, 4, 4, 4
53793, dsaxton, 10, 10, 4
53322, Scott, 2, 5, 4
17752, Joël, 6, 1, 4
133, gc5, 46, 14, 4
41, Ana, 2, 2, 4
15202, lukeA, 12, 12, 4
49914, Federico Caccia, 54, 23, 4
14518, javadba, 11, 23, 4
119, Marc Claesen, 3, 3, 4
2961, rcs, 39, 6, 4
4719, tashuhka, 7, 4, 4
157, Jay Godse, 3, 2, 4
14906, hbaderts, 26, 11, 4
10517, phiver, 28, 11, 4
27551, Christian Safka, 6, 5, 4
33701, Kshitiz , 27, 16, 4
13005, Cliff AB, 2, 4, 4
37794, AMC, 1, 3, 4
11061, mnm, 5, 12, 4
32420, aditya ramesh, 4, 2, 4
1237, StasK, 4, 4, 4
24996, Nikolas Rieble, 3, 14, 4
42354, krayyem, 28, 14, 4
46272, Jeffrey, 1, 1, 4
984, Debasis, 18, 12, 4
11021, scribbles, 4, 4, 4
31084, r2evans, 2, 6, 4
5144, CatsLoveJazz, 9, 9, 4
18418, Vadim Smolyakov, 20, 8, 4
57526, davmor, 12, 11, 4
33551, Benji Albert, 56, 10, 4
21257, Isbister, 12, 9, 4
10169, jknappen, 30, 12, 4
29353, AffableAmbler, 10, 6, 4
54944, Matthew, 35, 29, 4
8953, aeroNotAuto, 33, 10, 4
60902, Sangathamilan Ravichandran, 22, 7, 4
16613, Wayne, 5, 5, 4
37986, Volka, 53, 32, 4
53648, Fabrice BOUCHAREL, 56, 12, 4
20995, josh, 5, 8, 4
50363, tm1212, 30, 13, 4
50866, wind, 7, 11, 4
710, hrbrmstr, 13, 6, 4
49700, rnso, 164, 92, 4
54009, Tom, 4, 6, 4
59901, Boris Burkov, 9, 2, 4
71515, Nixel, 22, 7, 4
49650, Andreas Storvik Strauman, 12, 16, 4
29083, Adam Sypniewski, 4, 5, 3
553, lsdr, 7, 2, 3
44477, DukeLover, 48, 13, 3
54252, ukemi, 29, 8, 3
74855, Sarah, 35, 12, 3
78443, Lana, 59, 23, 3
6385, cdeterman, 3, 5, 3
168, Mr Lister, 1, 2, 3
3132, Regenschein, 8, 6, 3
44785, Skinish, 20, 9, 3
47078, Louis, 15, 10, 3
63327, komodovaran_, 13, 5, 3
18540, Sandeep S. Sandhu, 39, 11, 3
6403, Thomas Johnson, 19, 7, 3
32650, Francisco Vargas, 3, 5, 3
8040, Bertrand R, 1, 3, 3
31513, VividD, 226, 25, 3
1301, Simon, 9, 13, 3
212, Alex Gao, 3, 4, 3
32230, Jekaterina Kokatjuhha, 18, 11, 3
58736, Akash Dubey, 16, 11, 3
40515, ChiPlusPlus, 51, 15, 3
54992, Electric Head, 4, 8, 3
56981, Oren Milman, 25, 7, 3
62938, Nagabhushan S N, 49, 10, 3
236, organic agave, 3, 1, 3
59252, atmarges, 18, 7, 3
9085, lanenok, 34, 9, 3
14487, user90772, 16, 3, 3
14059, cyberj0g, 1, 1, 3
49293, Alexis, 10, 8, 3
41467, Ant, 3, 1, 3
47309, Jonathan, 4, 1, 3
23850, Sairaam Venkatraman, 12, 10, 3
38306, GhostRider, 9, 5, 3
45086, RyanMcFlames, 11, 6, 3
18247, Andrew Maurer, 7, 10, 3
76057, NS0, 4, 2, 3
116, AdrianBR, 5, 5, 3
979, Pasmod Turing, 19, 9, 3
33338, Shamane Siriwardhana, 54, 25, 3
33279, bacloud14, 77, 13, 3
18434, Theudbald, 40, 15, 3
2532, Dan, 2, 9, 3
50703, navon, 7, 2, 3
10345, Drj, 45, 18, 3
25772, HenrySky, 10, 3, 3
30472, kingledion, 16, 8, 3
54586, Mohamed Abduljawad, 31, 10, 3
22074, Mateusz Konopelski, 15, 9, 3
52300, naive, 56, 25, 3
75335, Paul92, 8, 4, 3
819, Charlie Greenbacker, 24, 14, 3
5143, Javierfdr, 41, 17, 3
16928, thanks_in_advance, 46, 12, 3
25673, Matt Wenham, 11, 11, 3
31667, nikkou, 3, 3, 3
42926, Daniel Chepenko, 12, 7, 3
75738, ashukid, 66, 18, 3
1151, GeorgeOfTheRF, 43, 16, 3
30408, liangjy, 13, 12, 3
63565, yatu, 4, 4, 3
2979, elmille, 3, 3, 3
12355, Cosmos, 3, 3, 3
12905, usεr11852, 1, 3, 3
20372, Pieter, 36, 31, 3
42069, Ankit Bindal, 3, 2, 3
663, Anton, 5, 1, 3
38657, moh, 44, 12, 3
43374, CrazyElf, 3, 7, 3
43459, Amani, 5, 4, 3
43870, shakedzy, 40, 14, 3
69471, Dan Chaltiel, 25, 13, 3
118, Konstantin V. Salikhov, 18, 7, 3
44389, Björn, 20, 7, 3
24162, David Dale, 45, 19, 3
59087, tsumaranaina, 48, 22, 3
12575, Derek Janni, 14, 7, 3
42622, Jurgy, 9, 4, 3
16050, ihadanny, 35, 7, 3
20429, Harpal, 14, 6, 3
57429, Philippe Fanaro, 35, 22, 3
74003, MichaelD, 13, 15, 3
18150, Syed Ali Hamza, 14, 25, 3
63871, Franziska W., 22, 9, 3
2647, Minu, 43, 28, 3
44965, MasterScrat, 11, 7, 3
69501, coolsv, 3, 3, 3
45726, TQA, 36, 11, 3
1281, Trylks, 7, 11, 3
41663, Josh, 1, 3, 3
32958, moksha, 15, 4, 3
21254, lte__, 72, 34, 3
29412, Arpit Sisodia, 32, 30, 3
67307, Amelia Bones, 8, 6, 3
9534, Brian Topping, 4, 5, 3
56207, vkj, 3, 2, 3
53940, RLave, 15, 10, 3
66252, wheresmycookie, 18, 4, 3
684, Madison May, 24, 16, 3
5055, Ehsan M. Kermani, 17, 23, 3
24409, grldsndrs, 37, 43, 3
69646, mLstudent33, 138, 29, 3
4933, umair durrani, 20, 14, 3
16964, Nomiluks, 13, 7, 3
38506, Boris, 63, 31, 3
66, demongolem, 6, 1, 3
43844, Yang Song, 1, 3, 3
1138, B_Miner, 30, 25, 3
17290, HonzaB, 51, 24, 3
40949, pythiest, 1, 1, 3
67366, Nikos, 16, 12, 3
74443, Kane Chua, 4, 2, 3
17355, Joonatan Samuel, 5, 2, 3
10902, Abhishek Jaiswal, 60, 26, 3
29960, ehudk, 5, 6, 3
7763, VictorZurkowski, 14, 9, 3
27665, OmG, 67, 15, 3
20903, user43348044, 14, 6, 3
49195, Paul Childs, 3, 3, 3
52109, marco_gorelli, 35, 30, 3
65698, UrbanoFonseca, 10, 3, 3
20759, Igor OA, 8, 4, 2
25183, utengr, 9, 2, 2
27130, Hunan Rostomyan, 1, 1, 2
35544, vikbehal, 6, 7, 2
9634, itdxer, 7, 3, 2
31346, astroman, 8, 7, 2
42821, Nga Dao, 15, 4, 2
46120, Matt Findlay, 3, 5, 2
39294, MNLR, 3, 1, 2
51467, Acccumulation, 4, 2, 2
59160, cat91, 5, 1, 2
76412, Erlend Magnus Viggen, 5, 1, 2
10019, JGreenwell, 2, 4, 2
14332, Vini, 6, 5, 2
13736, user, 140, 50, 2
12632, zero323, 1, 2, 2
16548, neelshiv, 4, 1, 2
24478, 42-, 8, 13, 2
56408, learning machine, 15, 7, 2
57233, DmytroSytro, 44, 13, 2
58743, VishwaV, 38, 13, 2
42499, JAD, 1, 3, 2
63282, Desmond, 6, 2, 2
35400, Learner132, 5, 5, 2
14994, hoaphumanoid, 36, 12, 2
24792, davidparks21, 28, 5, 2
23614, amirouche, 12, 6, 2
30578, Vivek Kalyanarangan, 15, 5, 2
57871, elemolotiv, 11, 3, 2
68975, Eric McLachlan, 4, 1, 2
9856, Fabian Werner, 6, 1, 2
10882, mikalai, 3, 8, 2
10663, Shawn Mehan, 13, 5, 2
8206, Nanda, 6, 5, 2
24218, Intruso, 1, 4, 2
28129, tony, 22, 3, 2
29905, bethanyP, 5, 8, 2
16922, piggybox, 1, 3, 2
37330, Andreas Look, 60, 20, 2
49278, NaturalFrequency, 18, 5, 2
64700, Opifex, 6, 4, 2
47371, user3658307, 34, 17, 2
29644, Jil Jung Juk, 13, 3, 2
387, user1893354, 7, 1, 2
10907, Mark, 10, 11, 2
30613, Sledge, 24, 10, 2
50441, Zer0k, 7, 5, 2
8664, ayhan, 1, 1, 2
50528, J_K_J, 4, 4, 2
57368, Ramana, 6, 2, 2
58607, Sau001, 3, 2, 2
60565, Duccio Piovani, 10, 2, 2
53453, britodfbr, 3, 2, 2
77035, Joao Ferreira, 6, 2, 2
11054, Hidden Markov Model, 2, 7, 2
14636, pplonski, 14, 2, 2
16370, MaxBenChrist, 1, 6, 2
45907, Stefan Radonjic, 44, 7, 2
37272, 0x90, 16, 3, 2
77164, steam_engine, 9, 3, 2
1003, fansia, 14, 7, 2
65493, ben2789, 3, 4, 2
15215, Bernardo Aflalo, 10, 4, 2
24885, Georgios Pligoropoulos, 78, 19, 2
44160, Matt Fortier, 4, 2, 2
63378, Yaroslaw Homenko, 23, 20, 2
63818, DK818, 3, 2, 2
71581, Benj, 8, 8, 2
1105, Cam.Davidson.Pilon, 3, 2, 2
69847, Apollo, 10, 5, 2
38096, data science guy, 7, 5, 2
41478, Adam, 3, 3, 2
44680, Srihari, 43, 20, 2
62882, Santiago Marin Mejia, 3, 3, 2
77170, timchap, 8, 5, 2
51131, Tobias Krabel, 4, 2, 2
75828, Matt, 1, 2, 2
3417, Glen Swan, 5, 3, 2
9508, Jakub Kotowski, 3, 1, 2
12960, Wilson Freitas, 3, 1, 2
21596, Hanan Shteingart, 16, 9, 2
45431, Kailegh, 6, 6, 2
38911, Continue2Learn, 44, 27, 2
10327, 0xF, 25, 7, 2
27003, Pierre, 22, 7, 2
52196, GileBrt, 31, 3, 2
2544, gaborous, 10, 3, 2
2604, Valmiky Arquissandas, 4, 6, 2
20572, FatihAkici, 11, 2, 2
54096, jonnor, 37, 54, 2
52799, Mikhail Berlinkov, 6, 8, 2
75405, baojieqh, 34, 4, 2
2861, user3791372, 28, 11, 2
6622, Xi'an, 1, 1, 2
20517, Rahul Sharma, 23, 7, 2
33922, bnorm, 16, 4, 2
37532, Tarun, 5, 1, 2
13672, vy32, 10, 5, 2
56227, c zl, 5, 5, 2
76779, J.Smith, 36, 14, 2
78674, Vlad_Z, 8, 19, 2
13123, agold, 8, 2, 2
16195, yildirim, 4, 3, 2
3410, jrouquie, 6, 1, 2
52250, user61034, 16, 6, 2
12527, Laurent Duval, 55, 21, 2
38355, HatemB, 16, 4, 2
45779, pawelty, 4, 3, 2
46785, GrozaiL, 13, 7, 2
39338, Mohit Motwani, 42, 19, 2
953, MattBagg, 1, 2, 2
462, Andre Holzner, 2, 5, 2
18544, SQLServerSteve, 9, 10, 2
26476, harveyslash, 4, 1, 2
37924, chrisckwong821, 3, 1, 2
41460, hc_ds, 16, 10, 2
43649, RobinL, 1, 2, 2
44328, Purbasha, 7, 1, 2
49985, Haris Nadeem, 2, 3, 2
56192, 0xsx, 1, 1, 2
57434, Aesir, 33, 17, 2
9314, Bartłomiej Twardowski, 11, 7, 2
10967, Yash chandak, 7, 4, 2
28384, Nitro, 16, 4, 2
31154, Henry, 6, 1, 2
44768, Andi R, 4, 2, 2
55108, Ken Syme, 5, 12, 2
58989, Chor Hatara Hud'u Keturi, 3, 3, 2
69994, Yo B., 5, 4, 2
5110, Vincent Benedict Victor, 6, 1, 2
13821, 0_0, 3, 2, 2
17777, Greenish, 6, 2, 2
41752, apsdehal, 1, 3, 2
51836, Vladislav Gladkikh, 27, 13, 2
70164, Universal_learner, 11, 5, 2
7969, Maksim Khaitovich, 20, 10, 2
14053, Lenar Hoyt, 5, 4, 2
45385, user5722540, 10, 10, 2
49932, Diansheng, 1, 4, 2
48968, Jarno, 3, 1, 2
68096, Levasco, 3, 1, 2
9801, device_exec, 14, 2, 2
16145, mandata, 1, 4, 2
30900, Subhash Ramesh, 3, 9, 2
27322, velocirabbit, 2, 3, 2
2668, samthebest, 4, 3, 2
4897, kylerthecreator, 8, 4, 2
70169, Vikrant Arora, 13, 6, 2
13285, paparazzo, 46, 46, 2
42908, willk, 1, 3, 2
43000, desertnaut, 14, 11, 2
47485, BenP, 12, 4, 2
46740, Vaibhav Thakur, 13, 1, 2
66104, kylec123, 20, 14, 2
890, ragingSloth, 19, 4, 2
131, joker, 4, 2, 2
8013, girl101, 140, 46, 2
18416, J. O'Brien Antognini, 7, 15, 2
9848, John Yetter, 1, 2, 2
25504, Mikhail Yurasov, 10, 2, 2
49217, John Rauser, 14, 8, 2
64596, Alireza Zolanvari, 62, 46, 2
78107, Daniel Möller, 1, 2, 2
10319, WBT, 1, 4, 2
24763, MissMonicaE, 3, 4, 2
58679, user2573741, 7, 4, 2
2750, MaticDiba, 26, 7, 2
12364, TerryMatula, 3, 1, 2
26202, Sören, 40, 9, 2
46624, MkL, 20, 7, 2
52061, Jmbernabotto, 7, 4, 2
1272, Ian Ringrose, 5, 2, 2
11007, pgalilea, 14, 3, 2
19172, barbolo, 9, 3, 2
9465, rilut, 45, 10, 2
73851, IamTheRealFord, 51, 7, 2
8644, Miha Trošt, 3, 3, 2
15927, gsamaras, 32, 12, 2
23664, Willem van Doesburg, 1, 2, 2
23144, Brian O'Donnell, 8, 2, 2
38379, Sophie Searcy - Metis, 17, 7, 2
40044, StevenTheDataGuy, 10, 4, 2
38256, user1934212, 4, 3, 2
5224, Marcin Kosiński, 25, 16, 2
9943, Azrael, 7, 8, 2
2981, Biswajit Banerjee, 2, 3, 2
17806, armatita, 7, 3, 2
21198, user1717828, 9, 3, 2
30520, Ytsen de Boer, 1, 4, 2
39234, tomar__, 13, 10, 2
10522, Victor, 40, 13, 2
16829, Raj, 10, 3, 2
8432, Blaszard, 84, 12, 2
10640, nbro, 91, 25, 2
4766, Adrian Torrie, 1, 2, 2
61713, rugermini, 5, 2, 2
64985, MSKL, 19, 4, 2
3294, charles, 1, 3, 2
1048, zihaolucky, 11, 3, 2
13578, Dave, 5, 4, 2
15693, Acapello, 12, 2, 2
32926, Michael Grogan, 23, 7, 2
41777, Jorge Barrios, 4, 2, 2
52995, donkz, 3, 2, 2
56354, fuwiak, 47, 16, 2
61177, CodeMonkey, 3, 1, 2
3540, machine-wisdom, 3, 4, 2
9966, untitledprogrammer, 24, 12, 2
13002, CHP, 8, 3, 2
737, Patlaf, 2, 1, 2
3283, Paul K, 3, 2, 2
2573, chewpakabra, 23, 10, 2
13662, MarvMind, 4, 4, 2
30864, Koh, 7, 3, 2
40720, Dubukay, 3, 2, 2
8646, Rob Hyndman, 1, 2, 2
32240, Alexander Chervov, 4, 4, 2
63594, ComeOnGetMe, 1, 2, 2
75257, ilni, 19, 6, 2
40360, GrizZ, 5, 6, 2
9197, Alejandro Simkievich, 26, 5, 2
24453, Alex Nikiforov, 6, 6, 2
26917, G5W, 15, 11, 2
30075, Aman Mathur, 5, 8, 2
36, statsRus, 7, 4, 2
7722, RUser, 3, 2, 2
21940, user666, 1, 2, 2
29392, hadi gharibi, 4, 2, 2
30335, generic_user, 42, 20, 2
59791, lfelipesv, 1, 3, 2
250, Therriault, 13, 2, 2
54955, AndriuZ, 8, 1, 2
63856, Alexbrini, 16, 8, 2
67219, Sean Lee, 10, 4, 2
913, chrshmmmr, 3, 3, 2
18282, krychu, 3, 3, 2
14152, Yilun Zhang, 7, 5, 2
51812, Eugen, 30, 10, 2
32024, OcK, 3, 2, 2
75055, Yash Jakhotiya, 15, 6, 2
5091, Sreejithc321, 170, 41, 2
23940, Rebecca Joanna, 3, 3, 2
47359, ShellRox, 75, 32, 2
54961, Glen, 3, 1, 2
57614, ch.E, 4, 3, 2
59027, soroush, 4, 1, 2
61378, bipul kalita, 9, 6, 2
49456, Ghanem, 23, 10, 2
70863, PythonGuest, 1, 1, 2
